Monitoring Location ID,Activity Type,Activity Start Date,Activity Start Time,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Relative Depth Name,Characteristic Name,Result Value,Result Unit,Quantitation Limit,QC Reference Value,Result Measure Qualifier,Result Attribute,Sample Collection Method ID,Project ID,Local Record ID,Result Comment
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Air Temp,17.1,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Air Temp,11.6,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Air Temp,12.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Air Temp,17.2,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Air Temp,13.1,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Water Temp,10.9,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Water Temp,11.6,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Water Temp,9.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Water Temp,9.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Water Temp,10.6,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,DO,9.63,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,DO,9.96,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,DO,10.35,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,DO,9.73,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,DO,10.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,DO saturation,88,%,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,DO saturation,91,%,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,DO saturation,91,%,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,DO saturation,84,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,DO saturation,91,%,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,pH,6.84,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,pH,6.93,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,pH,6.73,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,pH,6.39,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,pH,7.05,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Conductivity,246,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Conductivity,242,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Conductivity,253,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Conductivity,211,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Conductivity,200,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
